Tesla,Musk,Gigafactory,Elon Mask
https://en.wikipedia.org/wiki/Elon_Musk,215,653,10,0
https://en.wikipedia.org/wiki/Tesla_Solar_Roof,136,43,11,0
http://www.notablebiographies.com/news/Li-Ou/Musk-Elon.html,0,34,0,0
https://cleantechnica.com/2017/09/07/solar-roof-tile-production-teslas-buffalo-facility-now-running,26,1,4,0
https://web.archive.org/web/20181122215524/https://www.geekwire.com/2018/goodbye-bfr-hello-starship-elon-musk-gives-classic-name-mars-spaceship/,0,24,0,0
https://www.cnbc.com/2018/02/21/elon-musk-is-leaving-the-board-of-openai.html,11,12,0,0
https://arz.wikipedia.org/wiki/%D8%A7%D9%8A%D9%84%D9%88%D9%86_%D9%85%D8%B3%D9%83,1,12,0,0
https://www.space.com/spacex-starman-tesla-falcon-heavy-first-orbit-sun.html,7,5,0,0
https://en.wikipedia.org/wiki/Commercial_Crew_Program,1,5,0,0
https://en.wikipedia.org/wiki/Racing_Extinction,3,1,0,0
